Handle,Name,Vendor,Type,Tags,Weight (grams),Inventory, Price ,Sweetness,Acidity,Bitterness,Roast,Intensity,Complexity,Structure,Length
rogue-sambirano,Sambirano,Rogue,Chocolate Bar,"bar, chocolate, dark, , fruity, citrus",100,13,$8.00 ,72,88,63,12,8,17,27,83
rogue-balao,Balao,Rogue,Chocolate Bar,"bar, chocolate, dark, fruity, spicy, floral",100,27,$8.00 ,52,9,58,97,70,87,96,76
amano-ocumare,Ocumare,Amano,Chocolate Bar,"bar, chocolate, dark, fruity, earthy, chocolatey",100,11,$6.95 ,59,40,87,57,45,64,8,41
amano-madagascar,Madagascar,Amano,Chocolate Bar,"bar, chocolate, dark, fruity, citrus ",100,26,$6.95 ,77,92,99,13,98,10,11,74
amano-guayas,Guayas,Amano,Chocolate Bar,"bar, chocolate, dark, earthy, floral, fruity, spicy",100,26,$6.95 ,69,34,65,35,20,47,36,32
amano-dosrios,Dos Rios,Amano,Chocolate Bar,"bar, chocolate, dark, earthy, spicy, fruity",100,8,$6.95 ,70,29,13,81,39,6,43,96
amano-montanya,Montanya,Amano,Chocolate Bar,"bar, chocolate, dark, earthy, chocolatey",100,13,$8.95 ,42,31,48,32,73,70,72,32
amano-cuyagua,Cuyagua,Amano,Chocolate Bar,"bar, chocolate, dark, spicy, fruity",100,27,$8.95 ,12,66,41,85,26,59,84,32
amano-morobe,Morobe,Amano,Chocolate Bar,"bar, chocolate, dark, citrus, fruity, earthy",100,18,$6.95 ,74,70,17,19,12,79,59,90
amano-ocumare30,Ocumare 30%,Amano,Chocolate Bar,"bar, chocolate, dark, creamy, chocolatey",100,6,$6.95 ,27,37,96,63,9,6,78,44
potomac-upala,Upala 70%,Potomac,Chocolate Bar,"bar, chocolate, dark, chocolatey, fruity, citrus",100,26,$8.00 ,43,97,76,89,34,40,24,25
potomac-upalanib,Upala 70% Nib,Potomac,Chocolate Bar,"bar, chocolate, dark, chocolatey, fruity, citrus, nutty",100,28,$8.00 ,81,25,80,90,43,96,67,14
potomac-upalanibsalt,Upala 70% Nib & Salt,Potomac,Chocolate Bar,"bar, chocolate, dark, chocolatey, fruity, citrus, nutty",100,21,$8.00 ,7,58,36,8,59,33,90,38
fruition-rustic,Rustic Crunch,Fruition,Chocolate Bar,"bar, chocolate, dark, chocolatey, spicy, creamy",100,29,$8.00 ,73,58,42,13,28,34,66,95
fruition-milk,Milk Chocolate,Fruition,Chocolate Bar,"bar, chocolate, dark, chocolatey, creamy",100,1,$8.00 ,71,11,22,49,51,28,7,94
fruition-darkmilk,Dark Milk Chocolate with Sea Salt,Fruition,Chocolate Bar,"bar, chocolate, dark, citrus, chocolatey, creamy",100,14,$8.00 ,12,35,35,33,59,29,1,64
fruition-sigdark,Signature Dark Chocolate,Fruition,Chocolate Bar,"bar, chocolate, dark, citrus, fruity, chocolatey",100,7,$8.00 ,55,62,89,91,54,33,63,84
fruition-dark70,Dark Chocolate 70%,Fruition,Chocolate Bar,"bar, chocolate, dark, citrus, fruity, chocolatey",100,15,$8.00 ,59,90,2,61,87,3,72,88
fruition-dark100,Dark Chocolate 100%,Fruition,Chocolate Bar,"bar, chocolate, dark, citrus, fruity, chocolatey",100,20,$8.00 ,65,59,30,54,40,41,15,11
grenada-dark100,Dark Chocolate 100%,Grenada,Chocolate Bar,"bar, chocolate, dark, fruity, chocolatey",100,29,$6.00 ,59,100,58,21,2,25,30,66
grenada-dark60,Dark Chocolate 60%,Grenada,Chocolate Bar,"bar, chocolate, dark, fruity",100,7,$6.00 ,58,84,9,57,24,41,22,58
grenada-nib,Nib-A-Licious,Grenada,Chocolate Bar,"bar, chocolate, dark, fruity, nutty",100,12,$6.00 ,46,79,27,38,54,16,9,53
grenada-dark82,Dark Chocolate 82%,Grenada,Chocolate Bar,"bar, chocolate, dark, fruity, chocolatey",100,26,$6.00 ,64,65,49,47,78,80,18,65
marou-tiengiang,Tien Giang 70%,Marou,Chocolate Bar,"bar, chocolate, dark, spicy, fruity, creamy",100,13,$9.00 ,42,0,43,8,6,55,85,59
marou-lamdong,Lam Dong 74%,Marou,Chocolate Bar,"bar, chocolate, dark, spicy, citrus, fruity, creamy",100,6,$9.00 ,69,39,27,70,34,49,32,10
marou-dongnai,Dong Nai 72%,Marou,Chocolate Bar,"bar, chocolate, dark, chocolatey, creamy, fruity",100,21,$9.00 ,64,85,75,63,4,81,32,21
marou-bentre,Ben Tre 78%,Marou,Chocolate Bar,"bar, chocolate, dark, chocolatey, creamy",100,11,$9.00 ,23,59,93,47,19,83,15,9
marou-baria,Ba Ria 76%,Marou,Chocolate Bar,"bar, chocolate, dark, creamy, chocolatey, fruity",100,16,$9.00 ,55,52,6,63,78,95,73,72
chococon-maca,Maca,Chocolate Conspiracy,Chocolate Bar,"bar, chocolate, dark, chocolatey, earthy",100,21,$9.00 ,18,38,78,88,53,6,98,66
chococon-wildspice,Wild Spice,Chocolate Conspiracy,Chocolate Bar,"bar, chocolate, dark, chocolatey, spicy, earthy",100,17,$9.00 ,4,9,72,55,27,64,3,69
chococon-mint,Mint,Chocolate Conspiracy,Chocolate Bar,"bar, chocolate, dark, chocolatey, spicy, earthy",100,1,$9.00 ,10,10,87,56,62,58,57,0
chococon-dark,Dark,Chocolate Conspiracy,Chocolate Bar,"bar, chocolate, dark, chocolatey, creamy, earthy",100,4,$9.00 ,32,74,98,15,87,13,42,9
chococon-blackberry,Blackberry Ginger,Chocolate Conspiracy,Chocolate Bar,"bar, chocolate, dark, chocolatey, citrus, earthy",100,29,$9.00 ,48,75,92,28,39,86,84,7
madre-earlgrey,Hawaiian Earl Grey Tea,Madre,Chocolate Bar,"bar, chocolate, dark, citrus, earthy",100,4,$14.00 ,66,97,3,9,20,41,23,78
madre-dominican,Dominican Republic 70%,Madre,Chocolate Bar,"bar, chocolate, dark, chocolatey, creamy",100,25,$10.00 ,2,98,36,32,58,85,16,16
madre-triple,Triple Cacao,Madre,Chocolate Bar,"bar, chocolate, dark, chocolatey, fruity, nutty",100,5,$14.00 ,54,40,1,68,24,45,69,44
madre-hibiscus,Dominican Republic Hibiscus,Madre,Chocolate Bar,"bar, chocolate, dark, chocolatey, floral",100,14,$10.00 ,78,58,29,95,36,16,94,52
madre-chipotle,Dominican Republic Chipotle All-spice,Madre,Chocolate Bar,"bar, chocolate, dark, chocolatey, spicy",100,18,$10.00 ,30,29,39,77,5,19,28,48
madre-amaranth,Dominican Republic Popped Amaranth Crunch,Madre,Chocolate Bar,"bar, chocolate, dark, chocolatey, earthy",100,11,$10.00 ,71,92,96,43,72,26,22,17
fresco-222,Papau New Guinea (222),Fresco,Chocolate Bar,"bar, chocolate, dark, chocolatey, earthy, fruity, citrus",100,1,$8.00 ,51,45,79,74,34,15,52,10
fresco-221,Papau New Guinea (221),Fresco,Chocolate Bar,"bar, chocolate, dark, chocolatey, fruity, citrus, earthy",100,15,$8.00 ,1,45,46,46,99,49,83,30
fresco-219,Papau New Guinea (219),Fresco,Chocolate Bar,"bar, chocolate, dark, fruity, earthy",100,14,$8.00 ,68,44,8,78,56,55,31,65
fresco-214,Madagascar (214),Fresco,Chocolate Bar,"bar, chocolate, dark, fruity, citrus, creamy",100,7,$8.00 ,49,75,5,65,31,22,71,41
fresco-212,Dominican Republic (212),Fresco,Chocolate Bar,"bar, chocolate, dark, fruity",100,14,$8.00 ,14,61,56,27,9,60,26,81
osinclair-buttermilk,Buttermilk White Chocolate,Olive & Sinclair,Chocolate Bar,"bar, chocolate, dark, creamy",100,3,$6.00 ,76,38,9,30,6,47,45,86
osinclair-dark67,Dark Chocolate 67%,Olive & Sinclair,Chocolate Bar,"bar, chocolate, dark, chocolatey, fruity",100,13,$6.00 ,15,36,30,27,58,74,54,68
osinclair-coffee,Coffee Bean,Olive & Sinclair,Chocolate Bar,"bar, chocolate, dark, chocolatey, fruity, nutty",100,22,$6.00 ,93,97,39,30,20,0,50,2
osinclair-seasalt,Sea Salt,Olive & Sinclair,Chocolate Bar,"bar, chocolate, dark, chocolatey, fruity, citrus",100,20,$6.00 ,76,11,18,96,66,96,94,85
osinclair-darksp,Dark Salt & Pepper,Olive & Sinclair,Chocolate Bar,"bar, chocolate, dark, chocolatey, fruity, spicy",100,17,$6.00 ,87,89,60,63,35,48,42,60
osinclair-buttermilksp,Buttermilk White Salt & Pepper,Olive & Sinclair,Chocolate Bar,"bar, chocolate, dark, creamy, spicy",100,29,$6.00 ,86,97,82,32,7,72,41,74
